Order_ID,Order_Date,Customer_ID,Customer_Name,Province,City,Product,Category,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Profit_Margin,Payment_Method,Sales_Channel,Year,Month,Month_Name
ORD-108345,2025-01-01,CUST-1422,Customer 1422,Ontario,Mississauga,Webcam HD,Electronics,4,99.0,0.2,316.8,216.3,100.5,0.3172,Paypal,Online,2025,2025-01,January
ORD-104876,2025-01-01,CUST-3656,Customer 3656,Saskatchewan,Regina,Webcam HD,Electronics,4,99.0,0.05,376.2,248.67,127.53,0.339,Paypal,Retail Store,2025,2025-01,January
ORD-101535,2025-01-01,CUST-1778,Customer 1778,Saskatchewan,Saskatoon,Standing Desk,Furniture,3,699.0,0.0,2097.0,1314.25,782.75,0.3733,E-Transfer,Online,2025,2025-01,January
ORD-102266,2025-01-01,CUST-3811,Customer 3811,Alberta,Calgary,Printer Paper,Office Supplies,2,39.0,0.05,74.1,43.63,30.47,0.4112,Unknown,Retail Store,2025,2025-01,January
ORD-100845,2025-01-01,CUST-2760,Customer 2760,Alberta,Red Deer,USB-C Dock,Accessories,1,159.0,0.0,159.0,101.35,57.65,0.3626,Paypal,Online,2025,2025-01,January
ORD-108262,2025-01-01,CUST-2962,Customer 2962,Ontario,Mississauga,Wireless Headphones,Electronics,3,179.0,0.0,537.0,312.04,224.96,0.4189,Credit Card,Wholesale,2025,2025-01,January
ORD-105722,2025-01-01,CUST-3155,Customer 3155,British Columbia,Surrey,Mechanical Keyboard,Accessories,3,129.0,0.05,367.65,243.13,124.52,0.3387,Credit Card,Retail Store,2025,2025-01,January
ORD-106047,2025-01-01,CUST-2795,Customer 2795,Ontario,Hamilton,Backpack,Accessories,6,79.0,0.0,474.0,286.41,187.59,0.3958,Paypal,Retail Store,2025,2025-01,January
ORD-104727,2025-01-01,CUST-1174,Customer 1174,Manitoba,Winnipeg,Wireless Mouse,Accessories,4,49.0,0.0,196.0,118.61,77.39,0.3948,E-Transfer,Retail Store,2025,2025-01,January
ORD-102623,2025-01-01,CUST-2187,Customer 2187,Ontario,Toronto,Office Monitor 27,Electronics,5,349.0,0.2,1396.0,1130.8,265.2,0.19,Paypal,Online,2025,2025-01,January
ORD-103826,2025-01-01,CUST-1589,Customer 1589,Ontario,Mississauga,Webcam HD,Electronics,4,99.0,0.15,336.6,224.08,112.52,0.3343,Debit,Retail Store,2025,2025-01,January
ORD-104593,2025-01-01,CUST-2806,Customer 2806,Saskatchewan,Saskatoon,Ink Cartridge,Office Supplies,2,79.0,0.05,150.1,90.24,59.86,0.3988,Paypal,Online,2025,2025-01,January
ORD-108497,2025-01-01,CUST-3055,Customer 3055,Alberta,Red Deer,Wireless Mouse,Accessories,4,49.0,0.05,186.2,129.54,56.66,0.3043,E-Transfer,Online,2025,2025-01,January
ORD-100474,2025-01-01,CUST-1523,Customer 1523,Alberta,Red Deer,USB-C Dock,Accessories,2,159.0,0.05,302.1,184.75,117.35,0.3884,Paypal,Online,2025,2025-01,January
